respondent_id;question;response
119020237462;How would you classify your primary affiliation?;Academic (university/educational)
119020239755;How would you classify your primary affiliation?;Academic (university/educational)
119020242363;How would you classify your primary affiliation?;Consultancy
119020249109;How would you classify your primary affiliation?;Academic (university/educational)
119020263918;How would you classify your primary affiliation?;Academic (university/educational)
119020289798;How would you classify your primary affiliation?;Academic (university/educational)
119020301263;How would you classify your primary affiliation?;Academic (university/educational)
119020319085;How would you classify your primary affiliation?;Scientific (research institute)
119020330770;How would you classify your primary affiliation?;Scientific (research institute)
119020338593;How would you classify your primary affiliation?;Academic (university/educational)
119020345566;How would you classify your primary affiliation?;Academic (university/educational)
119020349803;How would you classify your primary affiliation?;Academic (university/educational)
119020407949;How would you classify your primary affiliation?;Academic (university/educational)
119020449571;How would you classify your primary affiliation?;Academic (university/educational)
119020558803;How would you classify your primary affiliation?;Scientific (research institute)
119020579053;How would you classify your primary affiliation?;Academic (university/educational)
119020646222;How would you classify your primary affiliation?;Scientific (research institute)
119020684646;How would you classify your primary affiliation?;Scientific (research institute)
119020916448;How would you classify your primary affiliation?;Scientific (research institute)
119020920353;How would you classify your primary affiliation?;Academic (university/educational)
119020962533;How would you classify your primary affiliation?;NGO
119021033231;How would you classify your primary affiliation?;Academic (university/educational)
119021064762;How would you classify your primary affiliation?;Scientific (research institute)
119021199025;How would you classify your primary affiliation?;Academic (university/educational)
119021268709;How would you classify your primary affiliation?;Academic (university/educational)
119021357437;How would you classify your primary affiliation?;Scientific (research institute)
119021686577;How would you classify your primary affiliation?;Academic (university/educational)
119022297166;How would you classify your primary affiliation?;Academic (university/educational)
119022582832;How would you classify your primary affiliation?;Academic (university/educational)
119023777492;How would you classify your primary affiliation?;Scientific (research institute)
119024947539;How would you classify your primary affiliation?;Public administration
119027662756;How would you classify your primary affiliation?;Academic (university/educational)
119027663134;How would you classify your primary affiliation?;Academic (university/educational)
119027677501;How would you classify your primary affiliation?;Scientific (research institute)
119027678677;How would you classify your primary affiliation?;Academic (university/educational)
119027696132;How would you classify your primary affiliation?;Scientific (research institute)
119028302479;How would you classify your primary affiliation?;Academic (university/educational)
119028671936;How would you classify your primary affiliation?;Consultancy
119029337164;How would you classify your primary affiliation?;Academic (university/educational)
119030842840;How would you classify your primary affiliation?;Academic (university/educational)
119030866340;How would you classify your primary affiliation?;Academic (university/educational)
119032201609;How would you classify your primary affiliation?;Academic (university/educational)
